Wall time,Step,Value
1753517166.668826,226304,0.0
1753517173.5723767,226816,0.0
1753517193.78376,228352,0.0
1753517237.7783818,231424,0.0
1753517331.0804708,236032,0.0
1753517360.5997007,237568,0.0
1753517370.2669287,238080,0.0
1753517470.2603848,243200,0.957812488079071
1753517596.545376,251904,0.0
1753517612.3138714,252928,0.0
1753517700.4320326,260096,0.0
1753517733.6701765,262656,0.0
1753517747.5993118,263680,0.0
1753517768.8886862,265216,0.0
1753517826.4603677,269312,0.0
1753517871.4283717,272384,0.0
1753517885.8383813,273408,0.0
1753517906.6172686,274944,0.0
1753517948.6027403,278016,0.0
1753517983.6013162,280576,0.0
1753518056.7468648,285696,0.0
1753518100.6157696,288768,0.0
1753518141.0427485,291840,0.971875011920929
1753518168.8089204,293888,0.0
1753518212.512885,296960,0.5289062261581421
1753518225.7155054,297984,0.0
1753518232.8335135,298496,0.0
1753518246.5247128,299520,0.0
1753518261.1146204,300544,0.0
1753518267.4945085,301056,0.0
1753518303.1423233,303616,0.936718761920929
1753518310.027047,304128,0.0
1753518373.4747968,308736,0.0
1753518418.1674514,311808,0.0
1753518432.6574724,312832,0.0
1753518468.8076394,315392,0.0
1753518503.2322469,317952,0.0
1753518518.0286772,318976,0.0
1753518606.1988177,325120,0.0
1753518656.8118563,328704,0.0
1753518664.164292,329216,0.0
1753518677.7900298,330240,0.0
1753518691.7772586,331264,0.0
1753518699.665005,331776,0.0
1753518713.4313245,332800,0.0
1753518796.7711725,338944,0.0
1753518818.3247766,340480,0.0
1753518847.5228708,342528,0.0
1753518869.56176,344064,0.0
1753518890.696582,345600,0.0
1753518918.1954134,347648,0.0
1753518924.8159013,348160,0.0
1753518953.166684,350208,0.0
1753518987.1292095,352768,0.0
1753518994.3509748,353280,0.7679687738418579
1753519064.228953,358400,0.0
1753519093.2145963,360448,0.0
1753519117.0310936,361984,0.0
1753519177.405685,366080,0.0
1753519206.5925968,368128,0.0
1753519228.3882663,369664,0.0
1753519235.1096308,370176,0.0
1753519241.7669613,370688,0.0
1753519291.1689858,374272,0.0
1753519329.8450549,377344,0.0
1753519342.076547,378368,0.0
1753519349.47813,378880,0.0
1753519378.553439,380928,0.0
1753519408.7336133,382976,0.0
1753519430.2388237,384512,0.0
1753519436.9567685,385024,0.9507812261581421
1753519444.049681,385536,0.0
1753519475.248104,387584,0.0
1753519538.7287662,392192,0.0
1753519568.78688,394240,0.71875
1753519576.0271587,394752,0.0
1753519583.5728629,395264,0.0
1753519598.0677109,396288,0.0
1753519605.474876,396800,0.0
1753519647.8541868,399872,0.0
1753519676.8370223,401920,0.0
1753519684.4521189,402432,0.0
1753519699.37575,403456,0.0
1753519714.9935749,404480,0.0
1753519735.5933087,406016,0.0
1753519742.615519,406528,0.0
1753519749.2777395,407040,0.0
1753519756.0036092,407552,0.0
1753519777.0101378,409088,0.0
1753519804.6828132,411136,0.0
1753519840.9608383,413696,0.0
1753519848.1097193,414208,0.796093761920929
1753519854.8946548,414720,0.0
1753519897.1851194,417792,0.0
1753520008.949671,426496,0.0
1753520035.5241232,428544,0.0
1753520049.117988,429568,0.0
1753520083.7727568,432128,0.0
1753520231.0058124,444416,0.0
1753520242.2154253,445440,0.3812499940395355
1753520268.5491798,448000,0.0
1753520279.3954337,449024,0.0
1753520302.569403,451072,0.0
1753520313.168876,452096,0.0
1753520355.1241028,456192,0.0
1753520386.0121408,459264,0.0
1753520406.7999716,461312,0.0
1753520442.991055,464896,0.0
1753520453.5699527,465920,0.0
1753520485.9701743,468992,0.0
1753520497.2013607,470016,0.0
1753520512.968516,471552,0.0
1753520518.5822685,472064,0.0
1753520528.7991302,473088,0.0
1753520575.7470624,477184,0.0
1753520581.1898084,477696,0.0
1753520596.9066634,479232,0.0
1753520636.106953,482816,0.0
1753520652.6537724,484352,0.0
1753520699.143811,488960,0.0
1753520720.8542755,491008,0.0
1753520737.3280745,492544,0.0
1753520742.46609,493056,0.0
1753520790.6828828,497664,0.0
1753520795.614557,498176,0.0
1753520816.871547,500224,0.0
1753520822.4092817,500736,0.0
1753520827.5031471,501248,0.0
1753520832.8794265,501760,0.0
1753520853.2013395,503808,0.0
1753520858.0531745,504320,0.0
1753520872.95921,505856,0.0
1753520877.8493795,506368,0.0
1753520927.8949633,510464,0.0
1753520958.27427,512512,0.0
1753520973.974343,513536,0.0
1753520989.0769856,514560,0.0
1753520995.3714616,515072,0.0
1753521060.5342386,519680,0.0
1753521084.5715241,521216,0.0
1753521141.8933527,525312,0.0
1753521152.8725853,526336,0.0
1753521174.9600594,528384,0.0
1753521180.1658378,528896,0.0
1753521230.405394,531456,0.0
1753521304.964875,535040,0.0
1753521414.7753224,540672,0.0
1753521434.5171149,541696,0.0
1753521490.8721545,544768,0.0
1753521519.9709153,546304,0.0
1753521538.248198,547328,0.0
1753521582.4281216,549376,0.0
1753521629.2003598,551424,0.0
1753521652.005248,552448,0.0
1753521706.623049,555008,0.0
1753521717.2381418,555520,0.0
1753521726.821137,556032,0.0
1753521803.4639308,560128,0.0
1753521856.77551,563200,0.0
1753521899.2791739,565248,0.0
1753521910.7891486,565760,0.0
1753521922.3337736,566272,0.0
1753522017.4333193,570880,0.0
1753522070.3072965,573440,0.0
1753522206.13123,580608,0.0
1753522224.1481717,581632,0.0
1753522448.0124629,591872,0.0
1753522457.9016106,592384,0.0
1753522501.1605587,594432,0.0
1753522510.9925044,594944,0.0
1753522521.4290452,595456,0.0
1753522710.2242715,604672,0.0
1753522763.0741038,607232,0.0
1753522833.2907445,610816,0.0
1753522842.0885208,611328,0.0
1753522903.2418292,614400,0.5570312738418579
1753522925.5921378,615424,0.0
1753522981.1626713,617984,0.0
1753523002.2683394,619008,0.0
1753523021.6530828,620032,0.0
1753523058.0281646,622080,0.0
1753523171.2992394,631296,0.0
1753523182.4955971,632320,0.0
1753523193.0836375,633344,0.0
1753523233.9420333,637440,0.0
1753523259.1242642,638976,0.0
1753523336.3694022,643072,0.0
1753523366.7534094,644608,0.4585937559604645
1753523398.152465,646144,0.0
1753523530.6125116,652800,0.0
1753523597.4839237,656384,0.0
1753523658.9034166,659456,0.0
1753523699.220497,661504,0.0
1753523709.4576228,662016,0.0
1753523720.5417178,662528,0.0
1753523730.6804392,663040,0.0
1753523772.1067064,666112,0.0
1753523840.4887528,671232,0.0
1753523871.8851025,673792,0.0
1753523877.47219,674304,0.0
1753523896.9154825,675840,0.0
1753523954.7979422,678912,0.0
1753523974.8474844,679936,0.0
1753524004.3941364,681472,0.0
1753524031.8842044,683008,0.0
1753524061.3887904,684544,0.0
1753524071.7829185,685056,0.0
1753524247.3835626,694272,0.550000011920929
1753524350.905795,699904,0.12812499701976776
1753524389.7053568,701952,0.0
1753524535.008745,709632,0.0
1753524564.1236944,711168,0.0
1753524573.3903403,711680,0.0
1753524591.377652,712704,0.0
1753524600.8282158,713216,0.0
1753524797.843164,723968,0.0
1753524807.447687,724480,0.0
1753524855.092958,727040,0.0
1753524884.518259,728576,0.0
1753524922.7520928,730624,0.0
1753524942.6518943,731648,0.0
1753524981.4379094,733696,0.0
1753525019.7661366,735744,0.0
1753525057.8008249,737792,0.0
1753525297.8537266,750592,0.0
1753525306.70571,751104,0.901562511920929
1753525410.882148,756736,0.0
1753525486.1835775,760832,0.0
1753525495.888719,761344,0.0
1753525524.314221,762880,0.0
1753525543.7256095,763904,0.0
1753525553.32721,764416,0.0
1753525641.0574384,769024,0.0
1753525677.8317943,772608,0.0
1753525752.7786622,780288,0.0
1753525757.8752136,780800,0.0
1753525772.4368813,782336,0.0
1753525806.8491633,785920,0.0
1753525866.1826856,792064,0.0
1753525891.1382499,794624,0.0
1753525896.8072743,795136,0.0
1753525911.6386054,796160,0.0
1753525985.0629768,799744,0.0
1753526051.3499424,803328,0.0
1753526061.2793732,803840,0.0
1753526148.168087,808448,0.0
1753526187.205975,810496,0.0
1753526206.2195425,811520,0.0
1753526244.2028484,813568,0.0
1753526297.2823179,818176,0.2265625
1753526331.1035876,821760,0.0
1753526335.8635142,822272,0.0
1753526360.4561682,824832,0.0
1753526401.6364837,828928,0.8453124761581421
1753526449.8637671,833536,0.0
1753526458.342469,834048,0.0
1753526489.6154873,836096,0.0
1753526517.0183845,838656,0.0
1753526532.110175,840192,0.0
1753526542.7100003,841216,0.0
1753526558.4034584,842752,0.0
1753526573.694763,844288,0.0
1753526594.3780851,846336,0.0
1753526639.1494071,850432,0.0
1753526705.3725371,854528,0.0
1753526724.2826793,855552,0.0
1753526743.9342608,856576,0.0
1753526772.9612753,858112,0.0
1753526782.5534873,858624,0.0
1753526820.5139694,861696,0.0
1753526825.655895,862208,0.0
1753526869.788223,866304,0.0
1753526892.689177,868352,0.0
1753526898.2707586,868864,0.0
1753526905.002427,869376,0.0
1753526916.892658,870400,0.0
1753526933.2569325,871936,0.0
1753526971.6590872,875520,0.0
1753526976.5447302,876032,0.0
1753527026.338315,880128,0.0
1753527036.3111339,880640,0.0
1753527124.6930306,885248,0.0
1753527161.2641373,887296,0.0
1753527180.7499025,888320,0.0
1753527190.964256,888832,0.0
1753527210.3630323,889856,0.0
1753527259.27996,892416,0.0
1753527268.5406697,892928,0.0
1753527287.7004378,893952,0.0
1753527297.6842046,894464,0.0
1753527306.7395985,894976,0.4515624940395355
1753527355.237841,897536,0.0
1753527498.71144,904704,0.0
1753527584.6513631,909312,0.0
1753527641.1648457,912384,0.0
1753527708.393873,915968,0.0
1753527717.4970365,916480,0.0
1753527771.2220106,921088,0.0
1753527806.7051709,924672,0.0
1753527864.3528123,929280,0.0
1753527885.7819822,930816,0.0
1753527936.442825,934400,0.0
1753527950.316249,935424,0.0
1753527975.9256876,937472,0.0
1753528026.4900067,942592,0.0
1753528031.641876,943104,0.0
1753528046.7830396,944640,0.0
1753528083.4147742,947200,0.0
1753528114.5861428,949248,0.0
1753528207.7699022,955904,0.0
1753528221.2416523,956928,0.0
1753528229.44909,957440,0.0
1753528274.6797686,960512,0.0
1753528281.513137,961024,0.0
1753528289.540395,961536,0.0
1753528303.8485532,962560,0.0
1753528319.2422109,963584,0.0
1753528408.1481454,969728,0.0
1753528534.8096917,978944,0.0
1753528576.9057634,982016,0.0
1753528626.823206,985600,0.0
1753528669.2570398,988672,0.0
1753528697.8424833,990720,0.0
1753528710.7960796,991744,0.0
1753528724.9039845,992768,0.0
1753528767.0895827,995840,0.0
1753528787.2557948,997376,0.0
1753528800.8210454,998400,0.0
1753528821.5085533,999936,0.0
1753528843.1225173,1001472,0.0
1753528863.8000174,1003008,0.0
1753528925.9736176,1007616,0.0
1753528939.6527843,1008640,0.0
1753529023.7726812,1014784,0.0
1753529030.483121,1015296,0.0
1753529037.5496032,1015808,0.0
1753529128.3561356,1022976,0.0
1753529152.4746263,1025024,0.0
1753529180.2430434,1027072,0.0
1753529219.6749163,1029120,0.0
1753529229.3715036,1029632,0.0
1753529258.5005805,1031168,0.0
1753529278.085394,1032192,0.0
1753529297.6289244,1033216,0.0
1753529372.6541555,1037312,0.0
1753529393.6112268,1038336,0.0
1753529423.973241,1039872,0.0
1753529453.9445508,1041408,0.0
1753529484.2462206,1042944,0.0
1753529503.2871807,1043968,0.0
1753529534.218994,1045504,0.0
1753529564.2570753,1047040,0.0
1753529720.5429783,1055232,0.0
1753529787.5202682,1058816,0.0
1753529837.7178295,1061376,0.0
1753529847.40369,1061888,0.0
1753529857.2981596,1062400,0.0
1753529876.998619,1063424,0.0
1753529887.0365708,1063936,0.0
1753529907.409091,1064960,0.0
1753529926.9026732,1065984,0.0
1753529965.4922135,1068032,0.0
1753530004.2584815,1070080,0.0
1753530053.7978063,1072640,0.0
1753530073.196307,1073664,0.0
1753530140.6123807,1077248,0.0
1753530159.186721,1078272,0.0
1753530170.402917,1078784,0.0
1753530223.938727,1081344,0.0
1753530270.2066336,1083392,0.0
1753530327.53492,1085952,0.0
1753530349.4070637,1086976,0.0
1753530360.6837142,1087488,0.0
1753530489.5199509,1092608,0.0
1753530503.4742756,1093120,0.0
1753530557.147931,1095168,0.0
1753530595.8366487,1096704,0.0
1753530636.84584,1098240,0.0
1753530651.659482,1098752,0.0
1753530691.5322378,1100288,0.0
1753530704.9577193,1100800,0.0
1753530730.722382,1101824,0.0
1753530798.603607,1104384,0.0
1753530811.2153797,1104896,0.0
1753530905.33891,1108480,0.0
1753530919.7358806,1108992,0.0
1753530973.2887259,1111040,0.0
1753531001.6891282,1112064,0.0
1753531029.1912763,1113088,0.0
1753531083.171368,1115136,0.0
1753531215.3412821,1120256,0.0
1753531237.7962906,1121280,0.0
1753531260.4396262,1122304,0.0
1753531270.4444137,1122816,0.0
1753531312.538553,1124864,0.0
1753531341.5382712,1126400,0.0
1753531424.9813707,1130496,0.0
1753531465.9531748,1132544,0.0
1753531591.496627,1139712,0.0
1753531618.0491114,1141760,0.0
1753531632.1032493,1142784,0.0
1753531666.8270812,1145344,0.0
1753531674.2069106,1145856,0.0
1753531688.5088663,1146880,0.0
1753531701.8950033,1147904,0.7679687738418579
1753531708.8938317,1148416,0.0
1753531722.8798964,1149440,0.0
1753531736.271454,1150464,0.0
1753531743.4028847,1150976,0.0
1753531791.0613966,1154560,0.0
1753531811.8615453,1156096,0.0
1753531848.2277694,1158656,0.0
1753531932.418473,1164800,0.0
1753531960.605185,1166848,0.0
1753531982.036961,1168384,0.0
1753532046.9010985,1173504,0.0
1753532077.5679522,1176576,0.0
1753532082.716735,1177088,0.0
1753532093.0847769,1178112,0.0
1753532109.9972095,1179648,0.0
1753532138.8261678,1181184,0.0
1753532148.6678126,1181696,0.0
1753532158.088718,1182208,0.0
1753532254.6428306,1187328,0.0
1753532264.7200987,1187840,0.0
1753532275.3818946,1188352,0.0
1753532295.0962353,1189376,0.0
1753532412.6488829,1195520,0.0
1753532422.0431683,1196032,0.0
1753532431.5266914,1196544,0.0
1753532441.3344438,1197056,0.0
1753532518.029845,1201152,0.0
1753532606.754356,1205760,0.0
1753532771.4862597,1214464,0.0
1753532909.2412124,1221632,0.0
1753532948.5131795,1223680,0.0
1753532958.213247,1224192,0.0
1753532977.3946695,1225216,0.61328125
1753533053.8067582,1229312,0.0
1753533073.0829747,1230336,0.0
1753533110.0387776,1232384,0.0
1753533210.5857801,1237504,0.0
1753533289.5292246,1241600,0.11406250298023224
1753533298.974431,1242112,0.0
1753533369.4958766,1247744,0.9859374761581421
1753533419.7104595,1251840,0.0
1753533474.4946637,1254912,0.0
1753533480.5109344,1255424,0.0
1753533492.3465207,1256448,0.0
1753533504.0382316,1257472,0.0
1753533531.8881195,1260032,0.0
1753533635.8910244,1269760,0.0
1753533667.1725247,1272832,0.0
1753533672.0385842,1273344,0.16328124701976776
1753533730.8040054,1278464,0.0
1753533743.755105,1279488,0.0
1753533764.251373,1281024,0.0
1753533771.471702,1281536,0.0
1753533777.72298,1282048,0.0
1753533844.2943208,1287168,0.0
1753533850.566298,1287680,0.0
1753533871.5377545,1289216,0.0
1753533911.716115,1292288,0.0
1753533940.6699648,1294848,0.0
1753533950.4815054,1295872,0.0
1753533961.0905187,1296896,0.0
1753533973.570542,1297920,0.0
1753534023.8633528,1302528,0.0
1753534045.738828,1304576,0.0
1753534067.9157379,1306624,0.0
1753534078.8561993,1307648,0.0
1753534095.2530038,1309184,0.0
1753534144.1140492,1313792,0.0
1753534149.1987205,1314304,0.0
1753534170.1187544,1316352,0.9507812261581421
1753534200.6117094,1319424,0.0
1753534211.5990303,1320448,0.0
1753534279.44796,1326592,0.0
1753534284.4656806,1327104,0.0
1753534289.8339815,1327616,0.0
1753534295.0335526,1328128,0.0
1753534310.965198,1329664,0.0
1753534333.3178267,1331712,0.0
1753534366.1700785,1334784,0.0
1753534371.2065656,1335296,0.0
1753534388.1258934,1336832,0.0
1753534432.1847534,1340928,0.690625011920929
1753534460.7298663,1343488,0.0
1753534476.0295246,1345024,0.0
1753534493.1045547,1346560,0.0
1753534498.395112,1347072,0.0
1753534528.5160007,1350144,0.0
1753534537.974249,1351168,0.0
1753534567.9475036,1354240,0.0
1753534584.0058863,1355776,0.0
1753534599.8229976,1357312,0.0
1753534604.9388423,1357824,0.0
1753534643.350143,1359872,0.0
1753534828.2683978,1369600,0.0
1753534867.4695454,1371648,0.0
1753534886.1927786,1372672,0.0
1753534933.5786169,1375232,0.0
1753534982.256283,1377792,0.0
1753535111.112885,1384448,0.0
1753535149.2562578,1386496,0.0
1753535177.644832,1388032,0.0
1753535328.204864,1395712,0.0
1753535438.3107553,1401344,0.535937488079071
1753535448.604924,1401856,0.0
1753535476.903575,1403392,0.0
