#{"t_start": 1753687631.6401637, "env_id": "MiniGrid-MultiRoom-N4-S5-v0"}
r,l,t
1.481283,80,189.009887
1.790002,80,189.406518
1.836921,80,189.798889
1.772533,80,190.187868
1.781568,80,190.585361
1.654324,80,190.986853
1.392644,80,191.399625
1.725098,80,191.817275
1.530788,80,192.250037
1.365352,80,192.673228
1.799253,80,193.062781
1.317912,80,193.457837
1.699988,80,193.874491
1.305398,80,194.331823
1.80014,80,194.738962
1.914932,80,195.168617
1.422117,80,195.58073
2.057422,80,195.997548
1.310169,80,196.41584
1.468483,80,204.023463
1.438657,80,204.688843
1.674701,80,205.331965
1.713553,80,205.948489
1.469974,80,206.464246
1.75691,80,207.015408
1.568547,80,207.566705
1.563872,80,208.104006
1.629826,80,208.649771
1.426219,80,209.1113
1.482966,80,209.528063
1.553166,80,210.017737
1.615622,80,210.428917
1.441961,80,210.822175
1.75522,80,211.313474
1.53285,80,212.03239
1.585776,80,212.597547
1.390197,80,213.156713
1.444275,80,213.601859
1.299076,80,214.017801
1.397345,80,214.628421
1.39492,80,215.171715
1.397365,80,215.667239
1.473508,80,216.202866
1.388677,80,216.740211
1.414904,80,217.201147
1.463396,80,224.595634
1.259035,80,225.032871
1.856592,80,225.506639
1.557542,80,225.9904
1.413794,80,226.47434
1.52842,80,226.963688
1.357135,80,227.486492
1.81281,80,228.009923
1.851862,80,228.51473
1.51312,80,228.982091
1.630935,80,229.407236
1.532176,80,229.8654
1.453665,80,230.268325
1.47526,80,230.686698
1.355797,80,231.201112
1.224574,80,231.689038
1.6378,80,232.253277
1.529765,80,232.804759
1.690439,80,233.28401
1.354885,80,233.682901
1.421055,80,234.094409
1.355825,80,234.578602
1.363361,80,234.940212
1.833769,80,235.419098
1.416304,80,235.884676
1.666142,80,243.332621
1.447209,80,243.848457
1.181525,80,244.397839
1.616945,80,244.978069
1.479347,80,245.423904
1.447188,80,245.905759
1.205769,80,246.322866
1.618175,80,246.891139
1.310626,80,247.383142
1.513351,80,247.879573
1.338795,80,248.37265
1.466295,80,248.889864
1.397063,80,249.36569
1.985955,80,249.807233
1.172836,80,250.197804
1.177638,80,250.591795
1.440816,80,251.0249
1.366713,80,251.447793
1.425371,80,251.941706
1.407174,80,252.399979
1.341686,80,252.902805
1.41157,80,253.317128
1.478283,80,253.710052
1.387567,80,254.198711
1.434173,80,254.657903
1.383022,80,255.121454
1.333082,80,262.197808
1.338435,80,262.623353
1.168992,80,263.092759
1.159232,80,263.531364
1.368191,80,264.086963
1.257753,80,264.575597
1.750282,80,265.069225
1.458509,80,265.527636
1.614994,80,266.01616
1.343166,80,266.528686
1.566642,80,267.094555
1.427227,80,267.581415
1.278847,80,268.174011
1.46806,80,268.62309
1.281412,80,269.091901
1.400885,80,269.494615
1.807599,80,269.912192
1.32834,80,270.287194
1.273013,80,270.694201
1.372628,80,271.134822
1.348055,80,271.571729
1.346301,80,272.136952
1.158784,80,272.610027
1.329616,80,273.130601
1.525555,80,273.61394
1.363946,80,274.008846
1.301144,80,280.837859
1.134315,80,281.317208
1.138634,80,281.745604
1.328112,80,282.226379
1.413137,80,282.699985
1.379389,80,283.186035
1.382791,80,283.696814
1.400913,80,284.190555
1.390352,80,284.676613
1.118102,80,285.129698
1.357381,80,285.613828
1.314044,80,286.109196
1.709232,80,286.510754
1.124284,80,286.909054
1.432346,80,287.365352
1.364778,80,287.821203
1.783289,80,288.337639
1.167434,80,288.839419
1.417476,80,289.39125
1.442599,80,289.795716
1.125343,80,290.228388
1.625105,80,290.6859
1.46062,80,291.071921
1.110621,80,291.493537
1.344024,80,292.110903
1.398743,80,299.251064
1.196318,80,299.768889
1.308792,80,300.280589
1.591949,80,300.781506
1.099972,80,301.264209
1.566696,80,301.701076
