#{"t_start": 1753806049.6551054, "env_id": "MiniGrid-MultiRoom-N4-S5-v0"}
r,l,t
11.336928,80,227.986515
11.780161,80,228.599616
11.739191,80,229.204332
13.817898,80,229.994285
15.938889,80,230.765518
15.559286,80,231.401606
12.4844,80,232.033275
12.028945,80,232.784521
17.636576,80,233.477448
20.244611,80,234.181293
23.590962,80,234.863445
15.806708,80,235.475864
12.516475,80,236.113271
10.487276,80,236.754671
14.426512,80,237.397625
13.494048,80,238.100801
11.484168,80,238.772495
12.794477,80,239.380035
9.746397,80,239.992431
13.375805,80,250.252683
15.497604,80,250.947613
21.638892,80,251.536843
18.455264,80,252.131974
19.833298,80,252.844993
21.155743,80,253.507954
10.789619,80,254.262846
15.051576,80,254.914467
16.97883,80,255.527199
15.54369,80,256.1661
21.20389,80,256.825812
13.899311,80,257.476809
10.674986,80,258.175246
12.916646,80,258.845421
10.869063,80,259.529339
11.21488,80,260.155829
15.854595,80,260.856165
14.479165,80,261.539064
15.642222,80,262.272166
18.991716,80,262.967065
17.594402,80,263.552854
20.41341,80,264.185897
23.558985,80,264.79283
21.374496,80,265.479023
20.0457,80,266.20294
11.5585,80,266.873672
15.561071,80,277.436923
17.103571,80,278.21908
18.4266,80,278.98701
15.285252,80,279.711356
15.718597,80,280.357552
11.372817,80,280.999603
9.529517,80,281.660014
15.36784,80,282.386951
12.659721,80,283.047853
14.742866,80,283.634029
12.71307,80,284.242946
14.364195,80,284.812202
15.03602,80,285.444933
14.019769,80,286.209736
11.498477,80,286.968
14.741843,80,287.609437
10.725243,80,288.202221
12.516071,80,288.793679
15.55338,80,289.355458
18.54357,80,290.581326
19.600601,80,291.545422
11.672144,80,292.239986
15.338803,80,292.807598
17.214258,80,293.39126
8.978333,80,294.071113
12.839451,80,302.892825
7.169224,80,303.510166
8.307511,80,304.116844
12.478815,80,304.721401
16.462851,80,305.749457
15.672112,80,306.79362
17.791287,80,307.420163
18.790522,80,308.090979
13.812788,80,308.659478
19.416335,80,309.256114
19.568071,80,309.907629
21.401571,80,310.650411
18.463351,80,311.26077
16.789885,80,311.847481
8.439184,80,312.472116
8.804319,80,313.122699
14.013185,80,313.728328
14.326427,80,314.453956
16.748618,80,315.099459
16.885061,80,315.727231
11.84587,80,316.375492
13.989554,80,316.981704
19.717726,80,317.591057
13.223781,80,318.352296
13.773702,80,319.045538
17.657346,80,319.663838
18.924716,80,328.745306
9.250466,80,329.350094
10.179205,80,330.042364
13.142294,80,330.767644
11.79105,80,331.383969
7.687385,80,331.97081
13.007569,80,332.567174
9.848657,80,333.15536
8.4796,80,333.78959
9.580854,80,334.451306
13.081164,80,336.135839
13.729752,80,337.096078
15.604554,80,337.954413
15.724087,80,338.723191
9.501644,80,339.36451
12.387754,80,340.127895
14.668368,80,340.872468
10.52543,80,341.594826
14.664969,80,342.310853
18.675773,80,343.042539
19.548694,80,343.690427
17.648245,80,344.321932
9.872003,80,344.956699
14.373761,80,345.632255
16.833411,80,346.410477
15.402929,80,347.143445
16.009577,80,357.195428
16.830041,80,357.824286
20.785606,80,358.612953
15.153633,80,359.25791
18.123211,80,359.953661
20.632289,80,360.606451
18.456625,80,361.29792
18.623963,80,361.983078
18.904816,80,362.798617
17.807546,80,363.402727
19.798327,80,364.036469
18.928484,80,364.6467
17.384155,80,365.576529
5.758799,80,366.918661
9.404145,80,367.794327
11.989726,80,368.488454
14.214141,80,369.168164
10.469139,80,369.860803
15.255726,80,370.679916
15.965402,80,371.316409
15.685272,80,372.016326
10.155796,80,372.633425
12.100638,80,373.303648
6.334813,80,374.057874
9.171854,80,374.813506
10.452853,80,384.786075
7.301636,80,385.37136
11.15357,80,385.98509
12.954927,80,386.658146
7.664752,80,387.269722
11.636515,80,387.932115
14.18455,80,388.540646
18.380836,80,389.120368
16.207418,80,389.67962
14.961012,80,390.486395
9.644363,80,391.189762
13.287554,80,391.741947
9.348283,80,392.318022
12.490644,80,392.898555
17.773983,80,393.505219
13.13644,80,394.178299
14.38348,80,394.924453
16.025472,80,395.590968
17.26563,80,396.191427
15.269742,80,396.780491
13.396792,80,397.363685
17.09752,80,397.994983
15.359759,80,398.716083
13.525772,80,399.363557
11.492316,80,399.93654
8.466359,80,400.501844
8.324116,80,409.239519
14.416314,80,409.836943
11.145513,80,411.064752
5.071398,80,412.023697
8.693647,80,412.686805
7.05194,80,413.299621
9.70828,80,413.947168
12.070608,80,414.796309
12.093889,80,415.408817
11.286694,80,415.972856
6.733343,80,416.537877
9.471692,80,417.101159
8.067145,80,417.642986
12.73125,80,418.365766
12.288012,80,419.03296
14.684975,80,419.612293
9.044826,80,420.19814
8.009093,80,420.747043
13.203032,80,421.324535
7.904672,80,421.910554
10.937878,80,422.542905
11.142647,80,423.190947
15.488127,80,423.799463
14.625568,80,424.40055
12.094505,80,424.968763
8.543015,80,433.648481
8.284593,80,434.391255
12.173529,80,435.097329
12.36481,80,435.683192
9.653476,80,436.221421
9.544023,80,436.809606
9.689232,80,437.413094
11.916291,80,438.138023
7.824796,80,438.91186
9.096953,80,439.544738
13.512593,80,440.24634
16.243805,80,441.301077
10.262988,80,442.053758
14.40804,80,442.869542
13.632866,80,443.493608
13.302344,80,444.093903
13.372834,80,444.668796
15.632983,80,445.238155
15.921652,80,445.851871
19.039872,80,446.537474
20.6439,80,447.211275
22.314696,80,447.814826
18.819933,80,448.39256
19.869797,80,448.990714
18.544905,80,449.603114
16.788711,80,450.316927
19.741843,80,460.221106
17.314868,80,460.795186
20.459146,80,461.36029
19.179367,80,461.944729
11.077724,80,462.597536
11.269704,80,463.272897
13.215272,80,463.88086
12.876514,80,464.445043
6.924546,80,464.984727
7.130197,80,465.561182
4.644109,80,466.202528
6.469807,80,466.94555
8.267132,80,467.544554
9.870211,80,468.116405
14.816733,80,468.718484
10.460763,80,469.302794
13.229275,80,469.916708
9.29834,80,470.673746
8.002716,80,471.389115
12.707838,80,471.997458
7.84587,80,472.575506
10.448503,80,473.17292
12.920615,80,473.792508
5.52101,80,474.6322
8.992359,80,475.293406
11.385413,80,475.889382
11.469057,80,485.17901
9.6852,80,486.472429
10.535139,80,487.330615
14.785355,80,487.940818
14.032366,80,488.570657
13.999387,80,489.150294
8.676591,80,489.775186
6.432234,80,490.523435
8.124509,80,491.216203
9.208305,80,491.822209
12.653518,80,492.384052
5.662039,80,492.969738
6.670809,80,493.603648
10.252811,80,494.2862
13.633877,80,494.98387
14.054358,80,495.574173
15.490593,80,496.141275
15.029449,80,496.69376
12.949358,80,497.253571
15.962236,80,497.853082
11.71804,80,498.503228
13.214682,80,499.195082
8.796973,80,499.777338
12.501747,80,500.371209
15.37671,80,501.004855
14.652775,80,509.73469
16.503658,80,510.409668
15.971662,80,511.138593
13.155109,80,511.720928
14.426758,80,512.344036
14.051628,80,512.934111
16.568031,80,513.508077
11.647621,80,514.143347
14.434105,80,514.9257
19.209384,80,516.297205
13.679809,80,517.186862
15.907379,80,517.844643
15.216764,80,518.561301
12.658169,80,519.300676
14.954472,80,519.91102
10.621637,80,520.498904
14.421883,80,521.101482
14.700643,80,521.703462
10.850393,80,522.440567
15.615832,80,523.164325
16.641749,80,523.809817
14.094733,80,524.382273
7.674436,80,524.973902
9.43304,80,525.547319
12.586761,80,526.156288
8.471535,80,526.856623
10.773893,80,536.700654
14.385308,80,537.274655
15.549023,80,537.864503
13.597988,80,538.521383
13.642145,80,539.24598
13.676959,80,539.804844
15.221561,80,540.398863
8.512185,80,540.952183
9.606761,80,541.568359
13.561702,80,542.202139
14.396838,80,542.921744
9.030317,80,543.599176
6.582159,80,544.194994
12.196303,80,544.779837
9.540652,80,545.350193
14.34075,80,546.016674
7.786414,80,546.830284
8.518907,80,547.449538
13.425648,80,548.027671
14.965813,80,548.607407
15.727482,80,549.173667
13.964457,80,549.750466
9.147641,80,550.358585
9.36996,80,551.055108
14.109075,80,551.679272
11.655266,80,562.154204
12.777448,80,562.971558
11.188045,80,563.71202
13.806446,80,564.420741
14.518182,80,565.073654
12.88979,80,565.694988
14.853962,80,566.346709
11.323746,80,567.168954
14.025039,80,567.814233
11.120909,80,568.4354
12.632227,80,569.090012
13.24268,80,569.754703
12.448936,80,570.531831
9.849565,80,571.29862
14.334978,80,571.969628
16.526616,80,572.598803
12.650018,80,573.221028
13.770918,80,573.842177
8.830627,80,574.526873
14.247647,80,575.333778
12.665746,80,576.509977
9.996542,80,577.451539
15.520776,80,578.160908
11.731611,80,578.876215
7.066869,80,579.560962
11.718198,80,580.197985
11.331063,80,589.39364
10.880497,80,590.031857
9.995025,80,591.437623
7.096324,80,592.429482
10.717909,80,593.079631
5.869267,80,593.722424
9.818175,80,594.379797
12.509748,80,595.185239
12.70458,80,595.854491
11.44065,80,596.476128
13.326664,80,597.106477
11.495345,80,597.743069
14.08658,80,598.413161
15.334146,80,599.168899
14.252195,80,599.829272
9.321909,80,600.428394
12.461868,80,601.049751
7.53254,80,601.654578
9.235567,80,602.349151
11.946623,80,603.146529
10.218797,80,603.821529
11.012598,80,604.474686
10.858545,80,605.105071
7.952202,80,605.834734
10.519061,80,606.571572
7.423206,80,607.414494
10.934314,80,616.790344
12.001061,80,617.445838
12.761185,80,618.102051
14.695492,80,618.750092
16.104242,80,619.432478
20.20969,80,620.055108
9.626242,80,620.867673
