#{"t_start": 1753737605.7603946, "env_id": "MiniGrid-MultiRoom-N4-S5-v0"}
r,l,t
0.0,80,173.677698
0.0,80,174.032548
0.0,80,174.397447
0.0,80,174.737887
0.0,80,175.070614
0.0,80,175.374146
0.0,80,175.709303
0.0,80,176.000089
0.0,80,176.314198
0.0,80,176.622102
0.0,80,176.918925
0.0,80,177.256497
0.0,80,177.552131
0.0,80,177.870575
0.0,80,178.186144
0.0,80,178.479887
0.0,80,178.805363
0.0,80,179.110189
0.0,80,179.406573
0.0,80,179.709768
0.0,80,180.021157
0.0,80,186.675239
0.0,80,186.98909
0.0,80,187.304626
0.0,80,187.712458
0.0,80,188.108938
0.0,80,188.505605
0.0,80,188.816168
0.0,80,189.258661
0.0,80,189.616069
0.0,80,190.051957
0.0,80,190.394605
0.0,80,190.74384
0.0,80,191.087019
0.0,80,191.425879
0.0,80,191.739129
0.0,80,192.192126
0.0,80,192.606248
0.0,80,193.10707
0.0,80,193.511909
0.0,80,193.960129
0.0,80,194.401166
0.0,80,194.890465
0.0,80,195.217358
0.0,80,195.675896
0.0,80,196.143281
0.0,80,204.03113
0.0,80,204.406432
0.0,80,204.77641
0.0,80,205.076602
0.0,80,205.374415
0.0,80,205.765202
0.0,80,206.15806
0.0,80,206.490736
0.0,80,206.826587
0.0,80,207.215982
0.0,80,207.521992
0.0,80,207.965211
0.0,80,208.342726
0.0,80,208.68152
0.0,80,209.055707
0.0,80,209.381965
0.0,80,209.723886
0.0,80,210.103971
0.0,80,210.474439
0.0,80,210.798196
0.0,80,211.14702
0.0,80,211.448747
0.0,80,211.776136
0.0,80,212.135356
0.0,80,212.516395
0.0,80,212.807108
0.0,80,219.750475
0.0,80,220.150347
0.0,80,220.524305
0.0,80,220.909756
0.0,80,221.329964
0.0,80,221.750012
0.0,80,222.127146
0.0,80,222.521467
0.0,80,222.905741
0.0,80,223.252947
0.0,80,223.587058
0.0,80,224.006196
0.0,80,224.40767
0.0,80,224.839606
0.0,80,225.155745
0.0,80,225.477203
0.0,80,225.942792
0.0,80,226.346185
0.0,80,226.705678
0.0,80,227.115415
0.0,80,227.452839
0.0,80,227.878616
0.0,80,228.311172
0.0,80,228.702377
0.0,80,229.042289
0.0,80,229.383957
0.0,80,236.558781
0.0,80,236.880741
0.0,80,237.195708
0.0,80,237.4655
0.0,80,237.827045
0.0,80,238.179311
0.0,80,238.464065
0.0,80,238.812532
0.0,80,239.138216
0.0,80,239.4534
0.0,80,239.783039
0.0,80,240.164659
0.0,80,240.484556
0.0,80,240.840086
0.0,80,241.138831
0.0,80,241.42948
0.0,80,241.746756
0.0,80,242.170143
0.0,80,242.55687
0.0,80,242.883569
0.0,80,243.225969
0.0,80,243.565551
0.0,80,243.886208
0.0,80,244.248852
0.0,80,244.593122
0.0,80,252.332611
0.0,80,252.764784
0.0,80,253.297362
0.0,80,253.721719
0.0,80,254.190455
0.0,80,254.624901
0.0,80,255.00271
0.0,80,255.43165
0.0,80,255.779219
0.0,80,256.214875
0.0,80,256.601781
0.0,80,256.967803
0.0,80,257.311693
0.0,80,257.733984
0.0,80,258.167275
0.0,80,258.53384
0.0,80,258.923203
0.0,80,259.301836
0.0,80,259.660393
0.0,80,260.014717
0.0,80,260.468927
0.0,80,260.810962
0.0,80,261.188625
0.0,80,261.579134
0.0,80,261.994547
0.0,80,262.506792
0.0,80,270.14792
0.0,80,270.481557
0.0,80,270.796078
0.0,80,271.147066
0.0,80,271.479989
0.0,80,271.928491
0.0,80,272.318577
0.0,80,272.739336
0.0,80,273.050147
0.0,80,273.333686
0.0,80,273.677975
0.0,80,274.054609
0.0,80,274.432488
0.0,80,274.762778
0.0,80,275.083276
0.0,80,275.429779
0.0,80,275.821541
0.0,80,276.208638
0.0,80,276.559119
0.0,80,276.84726
0.0,80,277.173056
0.0,80,277.588483
0.0,80,277.946366
0.0,80,278.328098
0.0,80,278.670126
0.0,80,286.683342
0.0,80,287.099135
0.0,80,287.459314
0.0,80,287.842072
0.0,80,288.234317
0.0,80,288.661034
0.0,80,289.067597
0.0,80,289.493842
0.0,80,289.860218
0.0,80,290.234506
0.0,80,290.585486
0.0,80,290.917714
0.0,80,291.280031
0.0,80,291.610973
0.0,80,291.974906
0.0,80,292.341441
0.0,80,292.746997
0.0,80,293.073447
0.0,80,293.417332
0.0,80,293.806552
0.0,80,294.186651
0.0,80,294.580451
0.0,80,294.921268
0.0,80,295.268238
0.0,80,295.603801
0.0,80,295.915524
0.0,80,302.863414
0.0,80,303.195311
0.0,80,303.569409
0.0,80,303.88182
0.0,80,304.21556
0.0,80,304.636547
0.0,80,304.94905
0.0,80,305.277415
0.0,80,305.678362
0.0,80,306.065708
0.0,80,306.437018
0.0,80,306.726821
0.0,80,307.074067
0.0,80,307.345572
0.0,80,307.663935
0.0,80,308.030128
0.0,80,308.453696
0.0,80,308.778215
0.0,80,309.109408
0.0,80,309.484295
0.0,80,309.805679
0.0,80,310.204859
0.0,80,310.527321
0.0,80,310.89521
0.0,80,311.226982
0.0,80,311.551008
0.0,80,320.086263
0.0,80,320.45935
0.0,80,320.79149
0.0,80,321.151466
0.0,80,321.549834
0.0,80,321.949406
0.0,80,322.367449
0.0,80,322.779819
0.0,80,323.141102
0.0,80,323.480946
0.0,80,323.856346
0.0,80,324.251692
0.0,80,324.632514
0.0,80,324.985681
0.0,80,325.338231
0.0,80,325.733024
0.0,80,326.289311
0.0,80,326.690045
0.0,80,327.019495
0.0,80,327.345181
0.0,80,327.647363
0.0,80,328.029593
0.0,80,328.41086
0.0,80,328.820544
0.0,80,329.156587
0.0,80,336.225953
0.0,80,336.601256
0.0,80,336.991838
0.0,80,337.390789
0.0,80,337.819301
0.0,80,338.227056
0.0,80,338.555765
0.0,80,338.852705
0.0,80,339.254725
0.0,80,339.662442
0.0,80,340.053697
0.0,80,340.538064
0.0,80,340.939594
0.0,80,341.326141
0.0,80,341.644577
0.0,80,342.058677
0.0,80,342.401798
0.0,80,342.751765
0.0,80,343.134399
0.0,80,343.483951
0.0,80,343.798328
0.0,80,344.165031
0.0,80,344.515919
0.0,80,344.837686
0.0,80,345.165537
0.0,80,345.458162
0.0,80,354.160884
0.0,80,354.461334
0.0,80,354.787601
0.0,80,355.129224
0.0,80,355.448815
0.0,80,355.779135
0.0,80,356.116014
0.0,80,356.455495
