#{"t_start": 1753647350.182859, "env_id": "MiniGrid-MultiRoom-N2-S4-v0"}
r,l,t
45.393226,40,1.822565
34.011113,40,2.122934
18.85758,40,2.39452
14.44407,40,2.651244
16.797847,40,2.880427
19.345795,40,3.097164
17.072672,40,3.324828
11.50682,40,3.553302
13.055937,40,3.775367
15.139206,40,4.003868
18.164855,40,4.226231
19.892847,40,4.482431
22.343277,40,4.729816
23.950682,40,4.95842
26.689633,40,5.180572
27.449104,40,5.430665
19.981671,40,5.658224
20.214897,40,5.864008
21.259034,40,6.112483
22.466162,40,6.381957
24.675172,40,6.623482
22.256265,40,6.889165
22.971058,40,7.10422
15.224474,26,7.239354
17.649196,40,7.476227
19.769011,40,7.700219
18.947619,40,7.919718
20.860239,40,8.139014
19.637193,40,8.383498
16.268543,40,8.611679
18.7326,40,8.859122
21.25803,40,9.089849
22.776169,40,9.318928
21.837528,40,9.562067
19.605225,40,9.788399
20.591611,40,9.9998
20.98119,40,10.207787
18.234408,40,10.433267
20.694357,40,10.651364
22.570902,40,10.854043
14.973616,40,11.056881
16.42434,40,11.267262
18.53389,40,11.49615
19.791459,40,11.69843
14.414612,40,11.909431
16.952513,40,12.12455
19.88554,40,12.373194
21.84487,40,12.633152
22.179971,40,12.873377
15.187738,40,13.093696
12.524493,40,13.30661
13.439665,40,18.240756
8.32706,40,18.479643
9.628361,40,18.712108
9.000261,40,18.941083
10.073371,40,19.156392
11.69595,40,19.400382
13.907955,40,19.631728
14.726164,40,19.836287
16.417439,40,20.041013
18.10772,40,20.270363
20.580126,40,20.534358
22.371077,40,20.756562
24.439463,40,21.00385
20.525885,40,21.22335
14.135889,40,21.449471
16.187343,40,21.680036
17.707806,40,21.880881
15.992643,40,22.078568
17.917647,40,22.289103
19.387705,40,22.513181
22.18332,40,22.74254
18.338129,40,22.960614
15.604363,40,23.176259
18.532794,40,23.389224
16.870916,40,23.631135
19.106746,40,23.867291
21.036835,40,24.070014
21.799777,40,24.295978
15.482767,40,24.541962
13.255978,40,24.787196
15.319778,40,25.013362
15.403808,37,25.223363
12.734927,40,25.434546
14.369492,40,25.667998
17.069954,40,25.885713
17.270369,40,26.085556
18.689421,40,26.292753
20.132288,40,26.497236
22.353088,40,26.723169
22.489811,40,26.925076
24.685216,40,27.130453
25.990715,40,27.340861
24.529447,40,27.553954
25.643289,40,27.762742
12.074048,19,27.85986
19.164289,40,28.065646
21.387153,40,28.282068
23.591101,40,28.511962
21.949363,40,28.761271
13.87029,28,28.921323
14.47393,40,29.179836
16.40456,40,29.459322
16.729054,40,34.065399
11.260775,40,34.291004
10.95076,40,34.493541
11.927247,40,34.728815
12.876907,40,34.948289
14.54323,40,35.146893
16.407154,40,35.351037
12.804675,40,35.569335
11.193345,40,35.80327
12.746083,40,36.011221
14.331365,40,36.221708
15.718806,40,36.45614
13.336459,40,36.715479
13.017101,40,36.947926
13.230712,40,37.168023
13.504231,34,37.376515
13.823107,40,37.60972
14.798085,40,37.84084
16.878004,40,38.071073
18.43185,40,38.280054
20.208479,40,38.505491
21.414589,40,38.732414
18.457258,40,38.962659
10.23434,19,39.069517
16.987801,40,39.285948
17.907029,40,39.499586
18.308752,40,39.73712
20.144208,40,39.966731
20.899794,40,40.168644
23.062368,40,40.395619
22.573632,40,40.633081
23.672818,40,40.878288
23.193053,40,41.131414
24.132146,40,41.362813
24.010962,40,41.573746
25.004818,40,41.809497
24.667494,40,42.048311
25.776006,40,42.289011
25.636243,40,42.525361
24.788316,40,42.819751
25.898139,40,43.041895
26.572167,40,43.300165
26.61568,40,43.521966
26.601823,40,43.782113
26.895283,40,44.034351
27.046279,40,44.271968
26.072478,40,44.544998
25.47049,40,44.858664
